14_02_23_144700
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,4.4634,0,0.0442486
1,19,19,6,5.35608,0,0.0530983
2,18,1,7,6.24876,0,0.061948
3,17,1,8,7.14144,0,0.0707978
4,16,1,9,8.03413,0,0.0796475
5,16,0,10,8.92681,0,0.0884972
6,15,1,11,9.81949,0,0.0973469
7,14,1,12,10.7122,0,0.106197
8,12,2,13,11.6048,0,0.115046
9,12,0,14,12.4975,0,0.123896
10,11,1,14,12.4975,0,0.123896
11,11,0,14,12.4975,0,0.123896
12,11,0,14,12.4975,0,0.123896
13,11,0,14,12.4975,0,0.123896
14,11,0,14,12.4975,0,0.123896
15,11,0,14,12.4975,0,0.123896
16,11,0,14,12.4975,0,0.123896
17,10,1,14,13.7473,0,0.136286
18,10,0,14,15.122,0,0.149914
19,8,2,14,16.6342,0,0.164906
20,7,1,14,16.6342,0,0.164906
21,7,0,14,16.6342,0,0.164906
22,7,0,14,16.6342,0,0.164906
23,7,0,14,16.6342,0,0.164906
24,7,0,14,16.6342,0,0.164906
25,7,0,14,16.6342,0,0.164906
26,7,0,14,16.6342,0,0.164906
27,7,0,14,16.6342,0,0.164906
