13_06_23_140318
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-414.909,260,,1.00135,6,0.543018,-0.271509,0.8159
2,10,-405.364,256.545,,0.982061,7.4,0.669723,-0.334861,1.00628
3,10,-391.636,299,,1.02468,8.8,0.796427,-0.398213,1.19665
4,10,-389.364,265,,0.970866,10.2,0.923131,-0.461566,1.38703
5,10,-385.909,263.091,,0.962908,11.6,1.04984,-0.524918,1.57741
6,10,-382.091,265,,0.960076,13,1.17654,-0.58827,1.76778
13_06_23_140502
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,-435.273,260,,1.00183,7,0.633521,-0.316761,0.951884
2,10,-420.182,260,,0.980089,9.8,0.88693,-0.443465,1.33264
3,10,-403.909,305,,1.02148,12.6,1.14034,-0.570169,1.71339
4,10,-403.091,260,,0.955462,15.4,1.39375,-0.696874,2.09414
5,10,-390.909,257.273,,0.93398,18.2,1.64716,-0.823578,2.4749
6,10,-369.273,259.273,,0.905685,21,1.90056,-0.950282,2.85565
7,10,-354.818,259.273,,0.884857,23.8,2.15397,-1.07699,3.2364
8,10,-336.455,299.909,,0.91695,26.6,2.40738,-1.20369,3.61716
9,10,-330.182,248.818,,0.834294,29.4,2.66079,-1.3304,3.99791
10,10,-314.727,248.455,,0.811501,32.2,2.9142,-1.4571,4.37867
11,10,-290.364,285.818,,0.830233,35,3.16761,-1.5838,4.75942
12,10,-284.636,242.545,,0.759628,37.8,3.42101,-1.71051,5.14017
13,10,-273.182,226.455,,0.719937,40.6,3.67442,-1.83721,5.52092
14,10,-254.818,233.636,,0.703825,43.4,3.92783,-1.96392,5.90168
15,10,-247.818,203.818,,0.650773,46.2,4.18124,-2.09062,6.28243
16,10,-259,161.818,,0.606366,49,4.43465,-2.21732,6.66318
17,10,-242,162.909,,0.583442,51.8,4.68806,-2.34403,7.04394
18,10,-213.273,192.364,,0.58449,54.6,4.94147,-2.47073,7.42469
19,10,-201.727,184.636,,0.55672,57.4,5.19487,-2.59744,7.80545
20,10,-206.091,170.182,,0.54218,60.2,5.44828,-2.72414,8.1862
21,10,-198.364,158.364,,0.514016,63,5.70169,-2.85085,8.56695
22,10,-183.182,174.636,,0.515588,65.8,5.9551,-2.97755,8.94771
23,10,-173.364,177.364,,0.505371,68.6,6.20851,-3.10425,9.32846
24,10,-175.091,133.364,,0.444459,68.6,14.9004,-7.45021,22.3883
24,10,53.0909,40.8182,,0.135316,68.6,14.9004,-7.45021,22.3883
13_06_23_140732
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,10,511.818,299,,1.00101,7,-1.49924,-0.749621,-0.323702
2,10,457.909,251.273,,0.875533,9.8,-2.09894,-1.04947,-0.453183
3,10,423.364,293,,0.8844,12.6,-2.69864,-1.34932,-0.582664
4,10,399.273,246,,0.796633,15.4,-3.29833,-1.64917,-0.712145
5,10,361.909,252,,0.757912,18.2,-3.89803,-1.94901,-0.841626
6,10,331.909,235.364,,0.700337,21,-4.49773,-2.24886,-0.971107
7,10,304.273,209.818,,0.63468,23.8,-5.09742,-2.54871,-1.10059
8,10,271,218.909,,0.604826,26.6,-5.69712,-2.84856,-1.23007
9,10,233.273,237.818,,0.581594,29.4,-6.29682,-3.14841,-1.35955
10,10,222,192.727,,0.512009,32.2,-6.89651,-3.44826,-1.48903
11,10,195.545,175.091,,0.457576,32.2,-16.5516,-8.27581,-3.57367
