14_02_23_144700
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,4.4634,0,0.0442486
1,19,19,6,5.35608,0,0.0530983
2,18,1,7,6.24876,0,0.061948
3,17,1,8,7.14144,0,0.0707978
4,16,1,9,8.03413,0,0.0796475
5,16,0,10,8.92681,0,0.0884972
6,15,1,11,9.81949,0,0.0973469
7,14,1,12,10.7122,0,0.106197
8,12,2,13,11.6048,0,0.115046
9,12,0,14,12.4975,0,0.123896
10,11,1,14,12.4975,0,0.123896
11,11,0,14,12.4975,0,0.123896
12,11,0,14,12.4975,0,0.123896
13,11,0,14,12.4975,0,0.123896
14,11,0,14,12.4975,0,0.123896
15,11,0,14,12.4975,0,0.123896
16,11,0,14,12.4975,0,0.123896
17,10,1,14,13.7473,0,0.136286
18,10,0,14,15.122,0,0.149914
19,8,2,14,16.6342,0,0.164906
20,7,1,14,16.6342,0,0.164906
21,7,0,14,16.6342,0,0.164906
22,7,0,14,16.6342,0,0.164906
23,7,0,14,16.6342,0,0.164906
24,7,0,14,16.6342,0,0.164906
25,7,0,14,16.6342,0,0.164906
26,7,0,14,16.6342,0,0.164906
27,7,0,14,16.6342,0,0.164906
14_02_23_171804
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,22,22,6,2.97291,0,-1.05033
2,21,1,7,3.4684,0,-1.22539
3,21,0,8,3.96388,0,-1.40044
4,21,0,9,4.45937,0,-1.5755
5,20,1,10,4.95486,0,-1.75055
6,18,2,11,5.45034,0,-1.92561
7,19,1,12,5.94583,0,-2.10066
8,19,0,13,6.44131,0,-2.27572
9,18,1,14,6.9368,0,-2.45077
10,17,1,15,7.43228,0,-2.62583
11,15,2,15,7.43228,0,-2.62583
12,15,0,15,7.43228,0,-2.62583
13,15,0,15,7.43228,0,-2.62583
14,15,0,15,7.43228,0,-2.62583
15,16,1,16,7.92777,0,-2.80088
16,15,1,16,7.92777,0,-2.80088
17,14,1,16,8.72055,0,-3.08097
18,14,0,16,9.5926,0,-3.38907
19,13,1,16,10.5519,0,-3.72798
20,11,2,16,11.607,0,-4.10078
21,10,1,16,11.607,0,-4.10078
22,9,1,16,11.607,0,-4.10078
14_02_23_172307
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,21,21,6,2.97291,0,-1.05033
2,20,1,7,3.4684,0,-1.22539
3,20,0,8,3.96388,0,-1.40044
4,20,0,9,4.45937,0,-1.5755
5,20,0,10,4.95486,0,-1.75055
6,19,1,11,5.45034,0,-1.92561
7,18,1,12,5.94583,0,-2.10066
8,18,0,13,6.44131,0,-2.27572
9,16,2,14,6.9368,0,-2.45077
10,15,1,14,6.9368,0,-2.45077
11,15,0,14,6.9368,0,-2.45077
12,14,1,14,7.63048,0,-2.69585
13,15,1,14,7.63048,0,-2.69585
14,14,1,14,8.39353,0,-2.96544
15,14,0,14,9.23288,0,-3.26198
16,12,2,14,10.1562,0,-3.58818
17,12,0,14,11.1718,0,-3.947
18,10,2,14,11.1718,0,-3.947
19,10,0,14,11.1718,0,-3.947
20,9,1,14,11.1718,0,-3.947
14_02_23_172632
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,21,21,6,2.97291,0,-1.05033
2,20,1,7,3.4684,0,-1.22539
3,20,0,8,3.96388,0,-1.40044
4,18,2,9,4.45937,0,-1.5755
5,19,1,10,4.95486,0,-1.75055
6,19,0,11,5.45034,0,-1.92561
7,18,1,12,5.94583,0,-2.10066
8,18,0,13,6.44131,0,-2.27572
9,16,2,14,6.9368,0,-2.45077
10,15,1,14,6.9368,0,-2.45077
11,15,0,14,6.9368,0,-2.45077
12,15,0,14,6.9368,0,-2.45077
13,15,0,14,6.9368,0,-2.45077
14,15,0,14,6.9368,0,-2.45077
15,15,0,14,6.9368,0,-2.45077
16,15,0,14,6.9368,0,-2.45077
17,15,0,14,6.9368,0,-2.45077
18,14,1,14,7.63048,0,-2.69585
19,15,1,14,7.63048,0,-2.69585
20,15,0,14,7.63048,0,-2.69585
21,15,0,14,7.63048,0,-2.69585
22,15,0,14,7.63048,0,-2.69585
23,15,0,14,7.63048,0,-2.69585
24,14,1,14,8.39353,0,-2.96544
25,14,0,14,9.23288,0,-3.26198
26,13,1,14,10.1562,0,-3.58818
27,11,2,14,10.1562,0,-3.58818
14_02_23_172854
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,18,18,6,2.97291,0,-1.05033
2,18,0,7,3.4684,0,-1.22539
3,17,1,8,3.96388,0,-1.40044
4,18,1,9,4.45937,0,-1.5755
5,17,1,10,4.95486,0,-1.75055
6,17,0,11,5.45034,0,-1.92561
7,16,1,12,5.94583,0,-2.10066
8,16,0,13,6.44131,0,-2.27572
9,15,1,13,6.44131,0,-2.27572
10,15,0,13,6.44131,0,-2.27572
11,15,0,13,6.44131,0,-2.27572
12,15,0,13,6.44131,0,-2.27572
13,15,0,13,6.44131,0,-2.27572
14,14,1,13,7.08544,0,-2.50329
15,14,0,13,7.79399,0,-2.75362
16,14,0,13,8.57339,0,-3.02898
17,13,1,13,9.43073,0,-3.33188
18,12,1,13,9.43073,0,-3.33188
19,12,0,13,9.43073,0,-3.33188
20,12,0,13,9.43073,0,-3.33188
21,12,0,13,9.43073,0,-3.33188
22,11,1,13,9.43073,0,-3.33188
14_02_23_173152
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,18,18,6,2.97291,0,-1.05033
2,15,3,6,2.97291,0,-1.05033
3,18,3,7,3.4684,0,-1.22539
4,18,0,8,3.96388,0,-1.40044
5,18,0,9,4.45937,0,-1.5755
6,17,1,10,4.95486,0,-1.75055
7,17,0,11,5.45034,0,-1.92561
8,16,1,12,5.94583,0,-2.10066
9,16,0,13,6.44131,0,-2.27572
10,15,1,13,6.44131,0,-2.27572
11,15,0,13,6.44131,0,-2.27572
12,14,1,13,7.08544,0,-2.50329
13,15,1,13,7.08544,0,-2.50329
14,15,0,13,7.08544,0,-2.50329
15,14,1,13,7.79399,0,-2.75362
16,14,0,13,8.57339,0,-3.02898
17,13,1,13,9.43073,0,-3.33188
18,12,1,13,9.43073,0,-3.33188
19,12,0,13,9.43073,0,-3.33188
20,11,1,13,9.43073,0,-3.33188
14_02_23_173313
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,18,18,6,2.97291,0,-1.05033
2,18,0,7,3.4684,0,-1.22539
3,18,0,8,3.96388,0,-1.40044
4,17,1,9,4.45937,0,-1.5755
5,17,0,10,4.95486,0,-1.75055
6,17,0,11,5.45034,0,-1.92561
7,16,1,12,5.94583,0,-2.10066
8,16,0,13,6.44131,0,-2.27572
9,15,1,13,6.44131,0,-2.27572
10,15,0,13,6.44131,0,-2.27572
11,15,0,13,6.44131,0,-2.27572
12,15,0,13,6.44131,0,-2.27572
13,15,0,13,6.44131,0,-2.27572
14,15,0,13,6.44131,0,-2.27572
15,15,0,13,6.44131,0,-2.27572
16,15,0,13,6.44131,0,-2.27572
17,15,0,13,6.44131,0,-2.27572
18,15,0,13,6.44131,0,-2.27572
19,14,1,13,7.08544,0,-2.50329
20,14,0,13,7.79399,0,-2.75362
21,14,0,13,8.57339,0,-3.02898
22,13,1,13,9.43073,0,-3.33188
23,12,1,13,10.3738,0,-3.66507
24,11,1,13,10.3738,0,-3.66507
25,11,0,13,10.3738,0,-3.66507
26,10,1,13,10.3738,0,-3.66507
24_02_23_090948
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,18,18,6,2.97291,0,-1.05033
2,18,0,7,3.4684,0,-1.22539
3,18,0,8,3.96388,0,-1.40044
4,17,1,9,4.45937,0,-1.5755
5,17,0,10,4.95486,0,-1.75055
6,16,1,11,5.45034,0,-1.92561
7,16,0,12,5.94583,0,-2.10066
8,16,0,13,6.44131,0,-2.27572
9,15,1,13,6.44131,0,-2.27572
10,15,0,13,6.44131,0,-2.27572
11,15,0,13,6.44131,0,-2.27572
12,15,0,13,6.44131,0,-2.27572
13,15,0,13,6.44131,0,-2.27572
14,15,0,13,6.44131,0,-2.27572
15,15,0,13,6.44131,0,-2.27572
16,15,0,13,6.44131,0,-2.27572
17,15,0,13,6.44131,0,-2.27572
24_02_23_091412
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.47743,0,-0.875276
1,18,18,6,2.97291,0,-1.05033
2,18,0,7,3.4684,0,-1.22539
3,18,0,8,3.96388,0,-1.40044
4,18,0,9,4.45937,0,-1.5755
5,17,1,10,4.95486,0,-1.75055
6,17,0,11,5.45034,0,-1.92561
7,16,1,12,5.94583,0,-2.10066
